세부 기능 (1),세부적인 구분,구분,부가설명,우선순위,구현난이도,백엔드 난이도,날짜,상태,상태 1
1.로그인,1.1 로그인,로그인,구글 OAuth를 통한 간편 로그인/회원가입 지원,4,중,중,,시작 전,시작 전
,1.2 회원가입,회원가입,yyyy-mm-dd 형식으로 본식일 또는 예정일 입력,4,,중,,시작 전,시작 전
2.내비게이션,2.1 홈,홈 버튼,홈 창 이동,4,하,하,,시작 전,시작 전
,2.2 청첩장,청첩장 버튼,청첩장 이동,4,하,하,,시작 전,시작 전
,2.3 투어일기,"투어일기 버튼 ",클릭 시 투어일기 창 이동,4,,하,,시작 전,시작 전
,2.4 마이,마이 버튼,클릭 시 마이 창 이동,4,,하,,시작 전,시작 전
3.홈,3.1 견적서,견적서 버튼,클릭 시 견적서 창 이동,4,하,중,,시작 전,시작 전
,,견적서 카드,카드 내용들,4,,,,시작 전,시작 전
,,3.1.1 견적서 창 : 웨딩홀 리스트 +선택버튼,담긴 업체 리스트 나열,4,,,,시작 전,시작 전
,,3.1.2 견적서 창 : 스튜디오 리스트  + 선택버튼,담긴 업체 리스트 나열,4,,,,시작 전,시작 전
,,3.1.3 견적서 창 : 드레스샵 리스트+ 선택버튼,담긴 업체 리스트 나열,4,,,,시작 전,시작 전
,,3.1.4 견적서 창 : 메이크업샵 리스트+ 선택버튼,담긴 업체 리스트 나열,4,,,,시작 전,시작 전
,,3.1.5 견적서 창 : 마감,견적서에 담은 업체 中 예약마감인것 표시 (품절느낌),1,,,,시작 전,시작 전
,,3.1.6 견적서 창 : 총합,선택된 업체들 가격 합산 계산값 표시,4,,,,시작 전,시작 전
,3.2 추천,"에디터 추천 게시물 ",리스트 나열,1,,하,,시작 전,시작 전
,,에디터 추천게시물 클릭,추천샵 디테일 페이지로 이동,1,,,,시작 전,시작 전
,3.3 검색,"카테고리별 개별 검색 공간 이동 ",각 카테고리 검색 창으로 이동,4,,중,,시작 전,시작 전
,,3.3.1 웨딩홀 검색,조건 기반 웨딩홀 탐색,4,,,,시작 전,시작 전
,,3.3.2스튜디오 검색,조건 기반 스튜디오 탐색,4,,,,시작 전,시작 전
,,3.3.3 드레스샵 검색,조건 기반 드레스 탐색,4,,,,시작 전,시작 전
,,3.3.4 메이크업샵 검색,조건 기반 메이크업샵 탐색,4,,,,시작 전,시작 전
4.투어일지,4.1 드레스 투어,기록한 리스트들 표시,"작성일시 기반으로 오름차순  ",2,중,,,시작 전,시작 전
,,드레스 삭제,드레스 스케치 삭제,2,,,,시작 전,시작 전
,,"> 버튼 누르면 5.2로 ",드레스 스케치로 이동,2,,,,시작 전,시작 전
,4.2 드레스 스케치,5.2.1 기본 몸 이미지,,4,상,상,,시작 전,시작 전
,,"5.2.2 라인(A라인/벨라인/슬림라인 ) ",각 종류 中 택1 →도안에 입혀짐,4,,,,시작 전,시작 전
,,5.2.3 넥라인(라운드/스퀘어/브이/오픈숄더/일자/하트/홀터),‘’,4,,,,시작 전,시작 전
,,5.2.4 소재(비즈/실크/쉬폰/레이스),‘’,4,,,,시작 전,시작 전
5.마이,5.1 프로필 화면,프로필 정보 표시,"사용자 이름, 프사는 개인설정 불가, 그냥 기본이미지로",4,하,하,,시작 전,시작 전
,,디데이,결혼 예정일까지 디데이,4,하,하,,시작 전,시작 전
,5.4 청첩장,청첩장 제작 버튼,청첩장 제작(만든 청첩장 x인경우),,,,,시작 전,시작 전
,,미리보기 버튼,현재까지 적용된 선택사함 볼수 있는 미리보기 버튼,,,,,시작 전,시작 전
,,테마,,,,,,시작 전,시작 전
,,기본정보,,,,,,시작 전,시작 전
,,인사말,,,,,,시작 전,시작 전
,,예식일시,,,,,,시작 전,시작 전
,,예식장소,,,,,,시작 전,시작 전
,,교통수단,,,,,,시작 전,시작 전
,,갤러리,,,,,,시작 전,시작 전
,,엔딩 사진/문구(잠금!),,,,,,시작 전,시작 전
,,계좌번호,,,,,,시작 전,시작 전
,,참석여부,,,,,,시작 전,시작 전
,,공유하기,,,,,,시작 전,시작 전
,,배경음악/파티룸(잠금!),,,,,,시작 전,시작 전
6.업체페이지-가격보기,6.1 가격보기,원하는 대행업체→옵션 클릭(기본→추가),,2,상,상,,시작 전,시작 전
,6.3 견적서 넣기 버튼,"견적서담기 ",선택한 업체를 견적서에 담기(견적서창에 추가되어야함),4,,,,시작 전,시작 전
,6.4 달력에 추가 버튼,달력에 일정추가,구글 캘린더 연동,4,,,,시작 전,시작 전
7.디테일,7.1 메인사진,,,0,중,,,시작 전,시작 전
,7.2 업체명 및 소개글,업체측에서 가져온 데이터,,4,,,,시작 전,시작 전
,7.4 업체측 상세컷 및 설명,상세컷 및 설명 (위치포함),상세컷 스크롤+위치에 지도연결,1,,,,시작 전,시작 전
